year,engine size,automatic transmission,mileage,fuel type,tax,mpg,price
2016,1.0,no,27516.0,petrol,20.0,60.1,6000.0
2017,1.0,no,11135.0,petrol,145.0,62.8,6000.0
2017,1.0,no,19607.0,petrol,20.0,64.2,6000.0
2012,1.6,no,73913.0,diesel,20.0,67.3,6000.0
2014,1.5,no,33190.0,diesel,20.0,68.9,6000.0
2017,1.0,no,18900.0,petrol,145.0,68.9,6050.0
2017,1.0,no,22335.0,petrol,20.0,62.8,6090.0
2013,1.4,no,55707.0,diesel,20.0,67.3,6095.0
2016,1.2,no,15000.0,petrol,125.0,53.3,6100.0
2014,1.2,no,49620.0,petrol,30.0,54.3,6100.0
2015,1.0,no,23663.0,petrol,0.0,69.0,6112.0
2015,1.6,no,49514.0,diesel,20.0,70.6,6160.0
2015,1.4,no,37704.0,petrol,30.0,55.4,6191.0
2017,1.0,no,20741.0,petrol,0.0,69.0,6191.0
2015,1.2,no,29164.0,petrol,125.0,54.3,6197.0
2011,2.0,no,74250.0,diesel,165.0,49.6,6200.0
2017,1.0,no,29910.0,petrol,150.0,64.2,6200.0
2014,1.6,no,49939.0,diesel,0.0,78.5,6200.0
2016,1.2,no,17967.0,petrol,125.0,53.3,6221.0
2017,1.0,no,31050.0,petrol,150.0,60.1,6240.0
2016,1.0,no,42158.0,petrol,0.0,69.0,6245.0
2016,1.4,no,50000.0,petrol,30.0,55.4,6247.0
2016,1.0,no,25186.0,petrol,20.0,62.8,6250.0
2018,1.0,no,11178.0,petrol,145.0,46.3,6290.0
2017,1.0,no,22181.0,petrol,0.0,69.0,6290.0
2015,1.0,no,8539.0,petrol,0.0,69.0,6291.0
2015,1.2,no,30000.0,petrol,125.0,52.3,6295.0
2015,1.0,no,42077.0,petrol,30.0,55.4,6295.0
2016,1.0,no,30344.0,petrol,20.0,60.1,6295.0
2016,1.0,no,30566.0,petrol,20.0,60.1,6295.0
2017,1.0,no,30195.0,petrol,145.0,60.1,6295.0
2016,1.0,no,27923.0,petrol,20.0,62.8,6295.0
2016,1.0,no,30055.0,petrol,20.0,62.8,6295.0
2013,1.2,no,33762.0,petrol,30.0,54.3,6298.0
2016,1.0,no,16000.0,petrol,20.0,62.8,6299.0
2015,1.0,no,17552.0,petrol,0.0,69.0,6299.0
2014,1.6,no,73488.0,diesel,0.0,88.3,6300.0
2014,1.2,no,30836.0,petrol,125.0,51.4,6334.0
2015,1.4,no,35050.0,petrol,30.0,55.4,6334.0
2014,1.2,no,66695.0,petrol,30.0,54.3,6340.0
2016,1.4,no,54000.0,petrol,30.0,55.4,6350.0
2013,1.0,no,36289.0,petrol,0.0,65.7,6350.0
2015,1.6,no,71412.0,diesel,20.0,68.9,6351.0
2016,1.4,no,33269.0,petrol,30.0,55.4,6360.0
2015,1.4,no,36706.0,petrol,30.0,55.4,6360.0
2016,1.0,no,21486.0,petrol,20.0,62.8,6360.0
2014,1.0,no,48653.0,petrol,0.0,65.7,6360.0
2017,1.0,no,9021.0,petrol,145.0,62.8,6370.0
2015,1.2,no,29797.0,petrol,125.0,52.3,6381.0
2014,1.3,no,31683.0,petrol,125.0,52.3,6390.0
2015,1.0,no,8730.0,petrol,20.0,61.4,6390.0
2017,1.0,no,23252.0,petrol,20.0,64.2,6399.0
2012,1.6,no,39384.0,diesel,20.0,70.6,6399.0
2016,1.0,no,22161.0,petrol,0.0,65.7,6400.0
2014,1.2,no,23346.0,petrol,30.0,57.6,6441.0
2004,3.0,yes,143000.0,diesel,325.0,27.2,6450.0
2016,1.4,no,43170.0,petrol,30.0,55.4,6450.0
2016,1.0,no,14988.0,petrol,0.0,69.0,6450.0
2018,1.0,no,35979.0,petrol,145.0,69.0,6450.0
2010,1.4,no,50000.0,petrol,145.0,48.7,6475.0
2010,2.0,no,65000.0,diesel,145.0,53.3,6475.0
2013,1.6,no,49000.0,diesel,20.0,67.3,6480.0
2018,1.0,no,8645.0,petrol,145.0,46.3,6490.0
2016,1.4,no,34559.0,petrol,125.0,52.3,6490.0
2010,2.0,yes,81000.0,diesel,145.0,53.3,6490.0
2013,1.2,no,30155.0,petrol,30.0,54.3,6490.0
2017,1.0,no,26908.0,petrol,20.0,60.1,6490.0
2011,2.0,no,90000.0,diesel,30.0,62.8,6490.0
2015,1.0,no,24562.0,petrol,0.0,67.3,6490.0
2016,1.6,no,70000.0,diesel,0.0,74.3,6490.0
2015,2.0,no,55000.0,diesel,0.0,76.3,6490.0
2014,1.2,no,26084.0,petrol,30.0,54.3,6491.0
2014,1.3,no,34000.0,petrol,30.0,55.0,6491.0
2016,1.6,no,112000.0,diesel,0.0,74.3,6491.0
2013,1.6,no,51988.0,diesel,0.0,78.5,6491.0
2015,1.6,no,68535.0,diesel,0.0,78.5,6491.0
2018,1.0,no,27625.0,petrol,145.0,57.7,6495.0
2015,1.0,no,46731.0,petrol,20.0,60.1,6495.0
2016,1.0,no,12600.0,petrol,20.0,62.8,6495.0
2016,1.0,no,12600.0,petrol,20.0,62.8,6495.0
2016,1.0,no,22169.0,petrol,20.0,62.8,6495.0
2016,1.0,no,17448.0,petrol,0.0,67.3,6495.0
2017,1.0,no,31132.0,petrol,0.0,67.3,6495.0
2015,1.0,no,11599.0,petrol,0.0,69.0,6495.0
2015,1.0,no,14040.0,petrol,0.0,69.0,6495.0
2016,1.4,no,43121.0,petrol,150.0,47.1,6498.0
2015,1.4,no,67690.0,petrol,125.0,52.3,6498.0
2014,1.2,no,40399.0,petrol,30.0,54.3,6498.0
2015,1.4,no,22825.0,petrol,30.0,55.4,6498.0
2017,1.2,no,40261.0,petrol,145.0,57.7,6498.0
2013,1.6,no,81025.0,diesel,0.0,68.9,6498.0
2017,1.0,no,24512.0,petrol,0.0,69.0,6498.0
2015,1.0,no,27500.0,petrol,30.0,57.6,6499.0
2015,1.2,no,37254.0,petrol,30.0,57.6,6499.0
2015,1.6,no,115613.0,diesel,125.0,58.9,6499.0
2017,1.0,no,18500.0,petrol,145.0,61.4,6499.0
2014,2.0,no,62193.0,diesel,0.0,76.3,6499.0
2014,2.0,no,67590.0,diesel,0.0,76.3,6499.0
2015,1.2,no,40700.0,petrol,30.0,55.4,6500.0
2016,1.2,no,16309.0,petrol,30.0,57.6,6500.0
2016,1.0,no,10810.0,petrol,20.0,62.8,6500.0
2017,1.0,no,25058.0,petrol,20.0,62.8,6500.0
2012,1.6,no,66100.0,diesel,20.0,67.3,6500.0
2015,1.0,no,36000.0,petrol,0.0,69.0,6500.0
2017,1.2,no,42981.0,petrol,30.0,57.7,6521.0
2015,1.0,no,50318.0,petrol,0.0,65.7,6531.0
2015,1.2,no,42916.0,petrol,20.0,60.1,6540.0
2017,1.2,no,33851.0,petrol,145.0,57.7,6550.0
2017,1.0,no,21700.0,petrol,150.0,64.2,6550.0
2016,1.0,no,24594.0,petrol,0.0,69.0,6550.0
2017,1.4,no,40526.0,petrol,30.0,55.4,6591.0
2018,1.0,no,32641.0,petrol,145.0,60.1,6595.0
2017,1.0,no,15669.0,petrol,145.0,64.2,6595.0
2015,1.4,no,33171.0,petrol,30.0,55.4,6599.0
2016,1.0,no,10758.0,petrol,20.0,62.8,6599.0
2017,1.0,no,25496.0,petrol,0.0,69.0,6599.0
2015,1.2,no,40528.0,petrol,20.0,60.1,6600.0
2013,1.0,no,41900.0,petrol,0.0,65.7,6600.0
2018,1.0,no,19751.0,petrol,145.0,69.0,6657.0
2014,1.6,no,38647.0,petrol,160.0,44.8,6660.0
2010,2.0,no,80000.0,diesel,125.0,57.6,6675.0
2016,1.2,no,29200.0,petrol,30.0,57.6,6689.0
2015,2.0,no,58648.0,diesel,125.0,60.1,6691.0
2019,1.0,no,6493.0,petrol,150.0,46.3,6695.0
2017,1.0,no,9121.0,petrol,20.0,60.1,6695.0
2014,1.6,no,65000.0,diesel,20.0,67.3,6695.0
2014,1.6,no,50016.0,diesel,0.0,78.5,6695.0
2015,1.4,no,18871.0,petrol,145.0,47.1,6698.0
2014,1.0,no,45067.0,petrol,0.0,65.7,6698.0
2016,1.0,no,20169.0,petrol,0.0,69.0,6698.0
2017,1.4,no,43116.0,petrol,145.0,55.4,6699.0
2014,1.2,no,24240.0,petrol,30.0,54.3,6700.0
2015,1.2,no,52353.0,petrol,30.0,54.3,6700.0
2017,1.0,no,26771.0,petrol,20.0,64.2,6700.0
2013,1.6,no,47769.0,diesel,20.0,67.3,6700.0
2014,1.4,no,45449.0,petrol,145.0,47.1,6750.0
2013,1.6,no,52250.0,petrol,200.0,43.5,6755.0
2014,1.4,no,34036.0,petrol,145.0,47.9,6780.0
2015,1.2,no,24218.0,petrol,125.0,53.3,6790.0
2017,1.4,no,39485.0,petrol,30.0,55.4,6790.0
2016,1.0,no,6000.0,petrol,20.0,62.8,6790.0
2017,1.2,no,22317.0,petrol,145.0,57.7,6795.0
2015,1.0,no,10800.0,petrol,20.0,61.4,6795.0
2014,1.0,no,30407.0,petrol,0.0,69.0,6795.0
2014,1.2,no,29357.0,petrol,125.0,53.3,6798.0
2015,1.4,no,28000.0,petrol,125.0,53.3,6799.0
2017,1.2,no,33609.0,petrol,145.0,53.3,6799.0
2013,1.2,no,35938.0,petrol,30.0,54.3,6799.0
2016,1.4,no,42732.0,petrol,30.0,55.4,6799.0
2017,1.0,no,6830.0,petrol,20.0,62.8,6799.0
2017,1.0,no,9087.0,petrol,20.0,64.2,6800.0
2017,1.0,no,12867.0,petrol,20.0,64.2,6800.0
2016,1.0,no,21672.0,petrol,0.0,69.0,6800.0
2015,1.4,no,27561.0,petrol,30.0,55.4,6830.0
2017,1.0,no,13810.0,petrol,20.0,60.1,6830.0
2014,1.0,no,38010.0,petrol,0.0,65.7,6830.0
2015,1.6,no,57541.0,diesel,0.0,78.4,6850.0
